Depth,Reeval_level,Time(s)
2,1,7.522318724542856
2,1,8.708293544128537
2,1,5.8448521587997675
2,1,4.9752416629344225
2,1,5.623813772574067
2,1,4.086732562631369
2,1,5.515652172267437
2,1,5.711982544511557
2,1,6.423865022137761
2,1,8.479975838214159
2,1,5.787570089101791
2,1,6.180366696789861
2,1,5.801374131813645
2,1,4.214109513908625
2,1,6.636933362111449
2,1,5.215201264247298
2,1,5.273036343976855
2,1,4.597286282107234
2,1,8.414108684286475
2,1,5.276451710611582
2,1,2.87792900018394
2,1,4.950819693505764
2,1,6.851575467735529
2,1,4.544514572247863
2,1,6.250974703580141
2,1,7.753753529861569
2,1,4.626791192218661
2,1,5.774452950805426
2,1,5.58748671784997
2,1,7.153718631714582
2,1,4.5803894847631454
2,1,3.8493166975677013
2,1,5.045155625790358
2,1,5.848021937534213
2,1,5.295357026159763
2,1,3.462530529126525
2,1,5.291687097400427
2,1,8.46879407018423
2,1,4.6417710687965155
2,1,5.636352155357599
